ID,HOMO,HOMO_LUMO_Gap,LUMO,ODI_HOMO,ODI_LUMO,ODI_Mean,ODI_Std,ESPmin,ESPmax,MolWt,TPSA,Dipole_Moment,NumHAcceptors,NumRotatableBonds,Nonpolar_Area,Polar_Area,Overall_Variance,Quadrupole_Moment,Octopole_Moment,NumHeteroatoms,NumAromaticRings,MolLogP,Volume,Density,Initial_PCE,Enhanced_PCE
20,-0.186274,0.166629,-0.019645,9.91,4.1,7.425,2.207085182,-38.85172,55.38147,483.504,70,1.705833,3,5,55.16,44.84,0.00034055,15.972268,426.4947,6,4,6.5844,3783.88391,1.4319,22.4,25.1
21,-0.191434,0.143264,-0.04817,5.93,4.14,5.1675,0.736931985,-38.9224,58.19453,423.408,62.46,2.068684,2,2,55.1,44.9,0.00040475,24.247713,380.2218,5,6,5.8931,3225.47243,1.471,25.3,26.39
22,-0.206575,0.17077,-0.035805,7.9,8.2,8.0625,1.0414023,-37.13848,57.31225,395.486,62.46,4.12041,4,7,50.22,49.78,0.00039335,24.791008,398.877,7,3,5.1962,3139.93171,1.4114,22.23,25.13
23,-0.197149,0.153148,-0.044001,7.1,6.71,6.64,0.302241625,-36.94811,57.14472,399.452,62.46,3.547763,3,6,47.34,52.66,0.00038945,16.579041,534.236,6,4,5.6275,3171.23672,1.4115,18.17,26.01
24,-0.184916,0.155584,-0.029332,9.46,7.71,7.295,1.79583546,-39.91426,54.93652,467.505,60.77,1.377309,2,5,56.28,43.72,0.00035406,23.933969,659.456,5,4,6.4591,3727.02762,1.4056,22.1,25.28
26,-0.192905,0.137882,-0.055024,7.13,6.78,7.265,0.376065154,-40.23172,53.90047,338.343,57.53,1.064578,1,5,50.84,49.16,0.00037682,20.809761,284.6928,4,4,5.0844,2701.65105,1.4034,18.4,20.2
27,-0.195705,0.15208,-0.043625,8.39,7.29,7.76,0.398057785,-39.12707,56.11993,383.406,62.46,3.526208,4,5,47.26,52.74,0.00040919,28.845887,413.5107,8,4,5.1677,2735.44964,1.5706,23.31,25.35
29,-0.201025,0.166431,-0.034594,8.55,8.34,8.605,0.278612634,-35.56199,59.94849,293.234,62.46,2.580824,2,3,47.92,52.08,0.00046571,19.688897,167.9866,6,3,3.1113,2155.89572,1.5241,20.28,23.25
30,-0.187717,0.149191,-0.038526,4.56,4.08,4.2225,0.206926919,-46.78549,57.6181,948.78,249.84,2.910114,8,16,48.08,51.92,0.00057143,16.603275,1204.9377,20,8,8.758,6931.16986,1.5339,18.9,21.7
31,-0.194998,0.137943,-0.057054,7.14,6.77,7.2625,0.378045963,-40.0527,54.5525,310.289,57.53,1.414448,1,3,48.76,51.24,0.00042607,17.055907,455.3399,4,4,4.3042,2385.76023,1.4574,23.1,26.1
32,-0.196535,0.155973,-0.040562,7.34,10.45,8.685,1.170779655,-41.45645,54.2607,351.342,62.46,1.149045,2,2,62.45,37.55,0.00043416,19.746816,366.6186,5,4,4.20354,2769.65945,1.4215,24.14,26.17
33,-0.195591,0.155653,-0.039938,5.83,7.39,6.2875,0.660165699,-45.23842,51.33393,500.428,124.92,3.300307,4,8,45.3,54.7,0.00038272,36.060459,631.2528,10,5,5.038,3717.71932,1.5084,23.11,25.15
34,-0.177508,0.151827,-0.025681,7.22,8.16,7.9725,0.503258135,-39.11041,55.04831,451.456,99.38,1.245051,6,13,55.29,44.71,0.00034261,21.415642,817.8647,9,3,3.8028,3670.40577,1.3783,23.38,25.52
35,-0.176055,0.082927,-0.093128,6.14,9.6,6.7175,1.934610749,-43.4714,50.95923,559.647,84.78,7.057163,7,8,60.99,39.01,0.00034892,82.254254,1798.8969,8,6,8.2105,4339.89594,1.445,20.8,24.8
36,-0.217431,0.156832,-0.060599,8.12,7.65,11.805,6.291265771,-34.0275,59.9846,527.036,62.46,4.374515,2,3,59.69,40.31,0.00041808,21.061254,323.6939,7,3,4.1814,2730.32005,2.1631,24.11,25.39
